-----------------------------------------------------------------------------------------------------------------------------------------
 Module info :
-----------------------------------------------------------------------------------------------------------------------------------------
 Base       | Top        | Size       | Rebase | SafeSEH | ASLR  | NXCompat | OS Dll | Version, Modulename & Path
-----------------------------------------------------------------------------------------------------------------------------------------
 0x10470000 | 0x104a1000 | 0x00031000 | False  | True    | False |  False   | False  | -1.0- [test.exe] (C:\Users\Jay\Desktop\test.exe)
 0x74f50000 | 0x75134000 | 0x001e4000 | True   | True    | True  |  False   | True   | 10.0.17134.376 [KERNELBASE.dll] (C:\WINDOWS\System32\KERNELBASE.dll)
 0x77a30000 | 0x77a74000 | 0x00044000 | True   | True    | True  |  False   | True   | 10.0.17134.1 [sechost.dll] (C:\WINDOWS\System32\sechost.dll)
 0x72ee0000 | 0x72f36000 | 0x00056000 | True   | True    | True  |  False   | True   | 10.0.17134.1 [mswsock.dll] (C:\WINDOWS\system32\mswsock.dll)
 0x75bc0000 | 0x75ca0000 | 0x000e0000 | True   | True    | True  |  False   | True   | 10.0.17134.376 [KERNEL32.DLL] (C:\WINDOWS\System32\KERNEL32.DLL)
 0x773a0000 | 0x7745f000 | 0x000bf000 | True   | True    | True  |  False   | True   | 7.0.17134.1 [msvcrt.dll] (C:\WINDOWS\System32\msvcrt.dll)
 0x744d0000 | 0x744da000 | 0x0000a000 | True   | True    | True  |  False   | True   | 10.0.17134.1 [CRYPTBASE.dll] (C:\WINDOWS\System32\CRYPTBASE.dll)
 0x744e0000 | 0x74500000 | 0x00020000 | True   | True    | True  |  False   | True   | 10.0.17134.376 [SspiCli.dll] (C:\WINDOWS\System32\SspiCli.dll)
 0x77c20000 | 0x77db0000 | 0x00190000 | True   | True    | True  |  False   | True   | 10.0.17134.228 [ntdll.dll] (C:\WINDOWS\SYSTEM32\ntdll.dll)
 0x74550000 | 0x745c8000 | 0x00078000 | True   | True    | True  |  False   | True   | 10.0.17134.1 [ADVAPI32.dll] (C:\WINDOWS\System32\ADVAPI32.dll)
 0x75de0000 | 0x75ea0000 | 0x000c0000 | True   | True    | True  |  False   | True   | 10.0.17134.1 [RPCRT4.dll] (C:\WINDOWS\System32\RPCRT4.dll)
 0x75d10000 | 0x75d77000 | 0x00067000 | True   | True    | True  |  False   | True   | 10.0.17134.1 [WS2_32.dll] (C:\WINDOWS\System32\WS2_32.dll)
 0x77650000 | 0x776a8000 | 0x00058000 | True   | True    | True  |  False   | True   | 10.0.17134.345 [bcryptPrimitives.dll] (C:\WINDOWS\System32\bcryptPrimitives.dll)
-----------------------------------------------------------------------------------------------------------------------------------------
Interesting gadgets
-------------------
0x1047601a :  # POP EDI # POP ESI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10474148 :  # PUSH ES # XOR EAX,EAX # POP EBP # RETN 0x04    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10488081 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10478084 :  # PUSH ESI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10472088 :  # MOV EAX,DWORD PTR SS:[ESP+C] # POP ESI # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047208c :  # POP ESI # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047208d :  # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10488090 :  # POP ECX # POP ECX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10488091 :  # POP ECX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10488092 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10472093 :  # POP ES # MOV EAX,DWORD PTR SS:[ESP+C] # POP ESI # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10472094 :  # MOV EAX,DWORD PTR SS:[ESP+C] # POP ESI # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10472098 :  # POP ESI # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10472099 :  # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048a01a :  # XOR EAX,EAX # XOR EDX,EDX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104720a6 :  # MOV EAX,DWORD PTR SS:[ESP+C] # POP ESI # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104720aa :  # POP ESI # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104720ab :  # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048a0ad :  # POP ECX # POP ECX # XOR EAX,EAX # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048a0ae :  # POP ECX # XOR EAX,EAX # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048a0af :  # XOR EAX,EAX # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048a0b1 :  # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e0b2 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104720be :  # INC EDI # ADD CL,BYTE PTR DS:[EBX+5E0C2444] # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104720bf :  # ADD CL,BYTE PTR DS:[EBX+5E0C2444] # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104720c0 :  # MOV EAX,DWORD PTR SS:[ESP+C] # POP ESI # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104720c4 :  # POP ESI # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104720c5 :  # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e0d0 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10479024 :  # POP ECX # POP ECX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048775f :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x104740e7 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e0f8 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104760f9 :  # XOR EAX,EAX # POP EDI # INC EAX # POP ESI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104760fb :  # POP EDI # INC EAX # POP ESI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104760fc :  # INC EAX # POP ESI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104760fd :  # POP ESI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10476112 :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047e114 :  # ADC EAX,<&KERNEL32.GetDateFormatW> # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e119 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10488127 :  # ADD ESP,10 # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048812a :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048412f :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047e139 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10476adf :  # PUSH ESI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e143 :  # ADC EAX,<&KERNEL32.GetLocaleInfoW> # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10476146 :  # POP ECX # MOV DWORD PTR DS:[ESI],EAX # POP ESI # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10476147 :  # MOV DWORD PTR DS:[ESI],EAX # POP ESI # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10476148 :  # PUSH ES # POP ESI # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10476149 :  # POP ESI # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047614a :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047414b :  # POP EBP # RETN 0x04    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10484158 :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10474ae4 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047415f :  # POP ECX # XOR EAX,EAX # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10474160 :  # XOR EAX,EAX # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10472590 :  # MOV ECX,DWORD PTR SS:[ESP+4] # SUB EAX,ECX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048816c :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e16e :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e178 :  # ADC EAX,<&KERNEL32.GetTimeFormatW> # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048817b :  # POP ECX # POP ECX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048817c :  # POP ECX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e17d :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048417e :  # XOR EAX,5D000000 # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10484182 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047618e :  # MOV EAX,EDI # POP EDI # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10476190 :  # POP EDI # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10476191 :  # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10476192 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e197 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048419d :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e1a5 :  # ADD ESP,0C # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e1a8 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10489dc2 :  # POP EBX # POP EDI # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104841b5 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10489049 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e1bf :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104725a1 :  # LEA EAX,DWORD PTR DS:[ECX-4] # MOV ECX,DWORD PTR SS:[ESP+4] # SUB EAX,ECX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e1ce :  # ADC EAX,<&KERNEL32.IsValidLocale> # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e1d3 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104761d4 :  # POP EDI # POP ESI # MOV EAX,EBX # POP EBX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104761d5 :  # POP ESI # MOV EAX,EBX # POP EBX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104761d6 :  # MOV EAX,EBX # POP EBX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104761d8 :  # POP EBX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104761d9 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047a1ee :  # POP ECX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104785a8 :  # POP ESI # POP EBX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047c1f3 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047a5aa :  # ADD ESP,10 # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e1fe :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10488203 :  # ADD EAX,5D40C033 # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10488204 :  # XOR EAX,EAX # INC EAX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10488206 :  # INC EAX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10488207 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10488209 :  # XOR EAX,EAX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10489dc5 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048820b :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047c215 :  # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047c216 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e21a :  # ADC EAX,<&KERNEL32.LCMapStringW> # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e21b :  # ADD BYTE PTR FS:[EDX+10],CL # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e21f :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10476221 :  # POP EDI # POP ESI # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10476222 :  # POP ESI # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10476223 :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10472224 :  # MOV EAX,DWORD PTR SS:[ESP+C] # POP ESI # POP EDI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10472228 :  # POP ESI # POP EDI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10472229 :  # POP EDI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047a22d :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048822e :  # ADD ESP,10 # POP ESI # POP EDI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10472230 :  # INC EDI # ADD ECX,DWORD PTR DS:[EBX+5E0C2444] # POP EDI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10472231 :  # ADD ECX,DWORD PTR DS:[EBX+5E0C2444] # POP EDI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10472232 :  # MOV EAX,DWORD PTR SS:[ESP+C] # POP ESI # POP EDI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10488233 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10472236 :  # POP ESI # POP EDI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10472237 :  # POP EDI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10472240 :  # INC EDI # ADD ECX,DWORD PTR DS:[EDX+47880246] # ADD CL,BYTE PTR DS:[EBX+5E0C2444] # POP EDI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10472241 :  # ADD ECX,DWORD PTR DS:[EDX+47880246] # ADD CL,BYTE PTR DS:[EBX+5E0C2444] # POP EDI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10478245 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10472246 :  # INC EDI # ADD CL,BYTE PTR DS:[EBX+5E0C2444] # POP EDI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10472247 :  # ADD CL,BYTE PTR DS:[EBX+5E0C2444] # POP EDI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10472248 :  # MOV EAX,DWORD PTR SS:[ESP+C] # POP ESI # POP EDI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047224c :  # POP ESI # POP EDI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047224d :  # POP EDI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1048824f :  # POP ESI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10472262 :  # MOV EAX,DWORD PTR SS:[ESP+C] # POP ESI # POP EDI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10472266 :  # POP ESI # POP EDI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10472267 :  # POP EDI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047626c :  # MOV EDI,5E5FC78B # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047626d :  # MOV EAX,EDI # POP EDI # POP ESI # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047626f :  # POP EDI # POP ESI # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10476270 :  # POP ESI # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10476271 :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047627f :  # OR EAX,1049E3C0 # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10476284 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e288 :  # POP EDI # SUB EAX,ECX # POP EBX # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e289 :  # SUB EAX,ECX # POP EBX # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e28b :  # POP EBX # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047c28c :  # TEST BYTE PTR DS:[ESI+5E59FFFF],BL # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e28d :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047c290 :  # POP ECX # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047c291 :  # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047c292 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104762a1 :  # ADD EAX,DWORD PTR DS:[EBX+C68BFFCE] # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104762a2 :  # OR ESI,FFFFFFFF # MOV EAX,ESI # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104842a3 :  # POP EDI # POP EBX # POP ESI # POP EBP # RETN 0x14    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104842a4 :  # POP EBX # POP ESI # POP EBP # RETN 0x14    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104762a5 :  # MOV EAX,ESI # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104842a6 :  # POP EBP # RETN 0x14    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104762a7 :  # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104762a8 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104882b5 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104742b8 :  # XOR EAX,EAX # POP EDI # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104742ba :  # POP EDI # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104742bb :  # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104742bc :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104842c2 :  # ADD ESP,0C # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104842c5 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104742d4 :  # POP ECX # POP ECX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104742d5 :  # POP ECX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104742d6 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104742d8 :  # XOR EAX,EAX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104842d9 :  # ADD ESP,10 # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104742da :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
